afl live 2004 - aussie rules football (europe)|SLES-51903
afl live premiership edition (australia)|SLES-52368
afl premiership 2005|SCES-53449
afl premiership 2005 (australia)|SCES-53449
afl premiership 2006|SCED-54192
afl premiership 2006 (australia)|SCES-54068
afl premiership 2006 (australia) (demo)|SCED-54192
afl premiership 2007|SCES-54639
afl premiership 2007 (australia)|SCES-54639
after... wasureenu kizuna (japan)|SLPM-65482
after... wasureenu kizuna (japan) (shokai genteiban)|SLPM-65481
after...～忘れえぬ絆～ [初回限定版]|SLPM-65481
after...～忘れえぬ絆～ [通常版]|SLPM-65482
agassi tennis generation|SLES-52125
agassi tennis generation (europe) (en,fr,de,es,it)|SLES-52125
agassi tennis generation (usa)|SLUS-20446
age of empires ii - the age of kings|SLES-50282
age of empires ii - the age of kings (europe) (en,fr,de,es,it) (v1.20)|SLES-50282
age of empires ii - the age of kings (europe) (en,fr,de,es,it) (v2.00)|SLES-50282
age of empires ii - the age of kings (japan)|SLPM-62076
age of empires ⅱ the age of kings|SLPM-62076
agent hugo|SLES-53504
agent hugo (europe) (en,fr,de,es,it,nl,pt,sv,no,da,fi)|SLES-53504
agent hugo (russia)|SLES-53910
agent hugo - hula holiday|SLES-55364
agent hugo - hula holiday (europe) (en,fr,de,es,it,nl,pt)|SLES-55365
agent hugo - hula holiday (russia)|SLES-55366
agent hugo - hula holiday (scandinavia) (en,sv,no,da,fi)|SLES-55364
agent hugo - lemoon twist|SLES-54917
agent hugo - lemoon twist (europe) (en,fr,de,es,it,nl,pt)|SLES-54918
agent hugo - lemoon twist (russia)|SLES-54919
agent hugo - lemoon twist (scandinavia) (en,sv,no,da,fi)|SLES-54917
agent hugo - roborumble|SLES-54212
agent hugo - roborumble (europe) (en,fr,de,es,it,nl,pt,sv,no,da,fi)|SLES-54212
agent hugo - roborumble (poland)|SLES-54520
aggressive inline|SLED-51074
aggressive inline (europe) (demo)|SLED-51074
aggressive inline (europe) (en,fr,de,es)|SLES-50480
aggressive inline (usa)|SLUS-20327
aggressive inline (usa) (demo)|SLUS-29021
aggressive inline [demo]|SLUS-29021
ah-64d apache|SLPS-20000
ah-64d apache (japan) (beta) (2003-03-26)|SLPS-20000
ai igo 2003 (japan)|SLPM-62329
ai mahjong 2003 (japan)|SLPM-62330
ai shougi 2003 (japan)|SLPM-62323
ai yori aoshi (japan)|SLPS-25225
ai yori aoshi (japan) (shokai genteiban)|SLPS-25224
aikagi - nukumori to hidamari no naka de (japan)|SLPM-65922
air|SLPS-25127
air (japan)|SLPM-65844
air [ベスト版]|SLPM-65844
air raid 3|SLES-53772
air raid 3 (europe)|SLES-53772
air ranger - rescue helicopter|SLES-50953
air ranger - rescue helicopter (europe)|SLES-50953
air ranger - rescue helicopter (japan)|SLPS-20083
air ranger -rescue helicopter- [わくわくプライス]|SLPS-20216
air ranger 2 - rescue helicopter (japan)|SLPM-65325
air ranger 2 - rescue helicopter (korea)|SLKA-25052
air ranger 2 plus - rescue helicopter (japan)|SLPM-65409
airblade|SCES-50246
airblade (europe) (en,fr,de,es,it) (beta) (2001-09-16)|SCES-50246
airblade (europe, australia) (en,fr,de,es,it)|SCES-50246
airblade (usa)|SLUS-20346
airblade (usa) (demo)|SLUS-29017
airblade [demo]|SLUS-29017
airborne troops - countdown to d-day|SLES-52939
airborne troops - countdown to d-day (europe) (en,fr,es,it)|SLES-52939
airborne troops - countdown to d-day (usa)|SLUS-21125
airforce - delta strike|SLUS-20703
airforce delta - blue wing knights (japan)|SLPM-65486
airforce delta strike (korea)|SLKA-25133
airforce delta strike (usa)|SLUS-20703
ai囲碁2003|SLPM-62329
ai将棋2003|SLPM-62323
ai麻雀2003|SLPM-62330
akagawa jirou - tsuki no hikari - shizumeru kane no satsujin (japan)|SLPS-20196
akagi - yami ni oritatta tensai (japan)|SLPM-62269
akaneiro ni somaru saka - parallel (japan)|SLPM-55006
akira psycho ball|SLES-50919
akira psycho ball (europe)|SLES-50919
akira psycho ball (japan)|SLPS-20150
akudaikan (japan)|SLPM-65151
akudaikan 2 - mousouden (japan)|SLPM-65620
akudaikan 3 (japan)|SLPM-55145
akumajou dracula - yami no juin (japan) (en,ja)|SLPM-66175
akumajou dracula - yami no juin (japan) (tentou taikenban)|SLPM-61138
alan hansen's sports challenge|SLES-54958
alan hansen's sports challenge (europe) (en,fr,de,es,it)|SLES-54958
alarm for cobra 11|SLES-52063
alarm for cobra 11 (europe) (en,de)|SLES-52063
alarm for cobra 11 - vol. ii|SLES-52920
alarm for cobra 11 - vol. ii (europe) (en,de)|SLES-52920
alarm for cobra 11 vol. 2 - hot pursuit (europe)|SLES-53360
alarm for cobra 11 vol.2 - hot pursuit|SLES-53360
alex ferguson's player manager 2001|SLES-50429
alex ferguson's player manager 2001 (europe)|SLES-50429
alfa romeo racing italiano (usa)|SLUS-21321
alias|SLES-51821
alias (europe) (demo)|SLED-52485
alias (europe) (en,fr,de,es)|SLES-51821
alias (italy)|SLES-51822
alias (usa)|SLUS-20673
alias [demo]|SLED-52485
alien hominid|SLES-53139
alien hominid (europe, australia) (en,fr,de,es,it,nl)|SLES-53139
alien hominid (usa)|SLUS-21090
aliens in the attic|SLES-55532
aliens in the attic (europe) (en,fr,de,es,it)|SLES-55532
aliens versus predator - extinction|SLES-51792
aliens versus predator - extinction (europe)|SLES-51792
aliens versus predator - extinction (korea)|SLKA-15020
aliens versus predator - extinction (usa)|SLUS-20147
all music dance!|SLES-52542
all music dance! (italy)|SLES-52542
all star pro-wrestling (japan)|SLPS-20022
all star pro-wrestling ii (japan)|SLPS-20139
all star pro-wrestling iii (japan)|SLPM-65300
all-star baseball 2002|SLES-50218
all-star baseball 2002 (europe)|SLES-50218
all-star baseball 2002 (japan)|SLPM-62069
all-star baseball 2002 (usa)|SLUS-20008
all-star baseball 2003|SLPM-65137
all-star baseball 2003 [trade demo]|SLUS-28007
all-star baseball 2003 featuring derek jeter|SLES-50447
all-star baseball 2003 featuring derek jeter (europe)|SLES-50447
all-star baseball 2003 featuring derek jeter (japan)|SLPM-65137
all-star baseball 2003 featuring derek jeter (usa)|SLUS-20311
